Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Trading Card Games,Magic: The Gathering,Urza's Saga (Non-Foil),"Set: Mystery Booster 2 • Rarity: Rare • Language: En • Type: Enchantment Land — Urza's Saga • Text: (As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.) I — This Saga gains ""{T}: Add {C}."" II — This Saga gains ""{2}, {T}: Create a 0/0 colorless Construct artifact creature token with 'This token gets +1/+1 for each artifact you control.'"" III — Search your library for an artifact card with mana cost {0} or {1}, put it onto the battlefield, then shuffle.",1,Buy it Now,40,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/c/7/c7658ec0-3207-4c7e-b31a-30a2a9249595.jpg?1724878082,,,,,,,
Trading Card Games,Magic: The Gathering,Elspeth Tirel (Foil),Set: Secret Lair Drop • Rarity: Mythic • Language: Ja • Type: Legendary Planeswalker — Elspeth • Mana Cost: {3}{W}{W} • Text: +2: You gain 1 life for each creature you control. −2: Create three 1/1 white Soldier creature tokens. −5: Destroy all other permanents except for lands and tokens.,1,Buy it Now,39,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/9/5/95d3a061-03b4-4004-8a6c-4374513de17a.jpg?1727566980,,,,,,,
Trading Card Games,Magic: The Gathering,"Tamiyo, Inquisitive Student // Tamiyo, Seasoned Scholar (Non-Foil)",Set: Modern Horizons 3 • Rarity: Mythic • Language: En • Type: Legendary Creature — Moonfolk Wizard // Legendary Planeswalker — Tamiyo • Text: No rules text.,1,Buy it Now,36,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/a/2a717b98-cdac-416d-bf6c-f6b6638e65d1.jpg?1727722070,,,,,,,
Trading Card Games,Magic: The Gathering,Ugin's Labyrinth (Non-Foil),"Set: Modern Horizons 3 • Rarity: Mythic • Language: En • Type: Land • Text: Imprint — When this land enters, you may exile a colorless card with mana value 7 or greater from your hand. {T}: Add {C}. If a card is exiled with this land, add {C}{C} instead. {T}: Return the exiled card to its owner's hand.",1,Buy it Now,36,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/0/2/020e1348-1a35-4cc8-bad6-9fbddfa79277.jpg?1717013086,,,,,,,
Trading Card Games,Magic: The Gathering,Rest in Peace (Foil),"Set: Mystery Booster 2 • Rarity: Rare • Language: En • Type: Enchantment • Mana Cost: {1}{W} • Text: When this enchantment enters, exile all graveyards. If a card or token would be put into a graveyard from anywhere, exile it instead.",1,Buy it Now,35,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/c/d/cda8edb5-f42d-46a4-8469-a121222c7e75.jpg?1723220646,,,,,,,
Trading Card Games,Magic: The Gathering,TARDIS (Foil),"Set: Doctor Who • Rarity: Uncommon • Language: En • Type: Artifact — Vehicle • Mana Cost: {2} • Text: Flying Whenever this Vehicle attacks, if you control a Time Lord, the next spell you cast this turn has cascade and you may planeswalk. Crew 2 (Tap any number of creatures you control with total power 2 or more: This Vehicle becomes an artifact creature until end of turn.)",1,Buy it Now,35,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/6/9/694373e5-91f4-4092-a05d-ab721a9d633a.jpg?1696638663,,,,,,,
Trading Card Games,Disney Cards,Elspeth Tirel (Non-Foil),Set: Secret Lair Drop • Rarity: Mythic • Language: Ja • Type: Legendary Planeswalker — Elspeth • Mana Cost: {3}{W}{W} • Text: +2: You gain 1 life for each creature you control. −2: Create three 1/1 white Soldier creature tokens. −5: Destroy all other permanents except for lands and tokens.,1,Buy it Now,34,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/9/5/95d3a061-03b4-4004-8a6c-4374513de17a.jpg?1727566980,,,,,,,
Trading Card Games,Disney Cards,Ravenous Tyrannosaurus (Non-Foil),"Set: Jurassic World Collection • Rarity: Rare • Language: En • Type: Creature — Dinosaur • Mana Cost: {4}{R}{G} • Text: Devour 3 (As this creature enters, you may sacrifice any number of creatures. It enters with three times that many +1/+1 counters on it.) Whenever this creature attacks, it deals damage equal to its power to up to one other target creature. Excess damage is dealt to that creature's controller instead.",2,Buy it Now,34,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/b/2be38927-637b-4dce-b228-83ce4f50c4a4.jpg?1698988775,,,,,,,
Trading Card Games,Disney Cards,Commander's Plate (Non-Foil),Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Artifact — Equipment • Mana Cost: {1} • Text: Equipped creature gets +3/+3 and has protection from each color that's not in your commander's color identity. Equip commander {3} Equip {5},1,Buy it Now,33,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/2/228abefc-9f64-4d64-ad58-41b0201eb82e.jpg?1729274138,,,,,,,
Trading Card Games,Disney Cards,Twinflame Tyrant (Foil),"Set: Foundations • Rarity: Mythic • Language: En • Type: Creature — Dragon • Mana Cost: {3}{R}{R} • Text: Flying If a source you control would deal damage to an opponent or a permanent an opponent controls, it deals double that damage instead.",1,Buy it Now,32,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/1/e/1eb34f51-0bd2-43c3-af95-2ce8dabcc7bb.jpg?1730488954,,,,,,,
Trading Card Games,Disney Cards,Bloodletter of Aclazotz (Non-Foil),"Set: The Lost Caverns of Ixalan • Rarity: Mythic • Language: En • Type: Creature — Vampire Demon • Mana Cost: {1}{B}{B}{B} • Text: Flying If an opponent would lose life during your turn, they lose twice that much life instead. (Damage causes loss of life.)",1,Buy it Now,31,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/d/4/d4f6027a-003a-4f9d-929a-0b6da1fa42c9.jpg?1699044094,,,,,,,
Trading Card Games,Magic: The Gathering,"Delney, Streetwise Lookout (Non-Foil)","Set: Murders at Karlov Manor • Rarity: Mythic • Language: En • Type: Legendary Creature — Human Scout • Mana Cost: {2}{W} • Text: Creatures you control with power 2 or less can't be blocked by creatures with power 3 or greater. If an ability of a creature you control with power 2 or less triggers, that ability triggers an additional time.",1,Buy it Now,30,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/b/6/b6297104-b73c-439c-ac0c-b7fac01d49dc.jpg?1706242565,,,,,,,
Trading Card Games,Magic: The Gathering,Goldspan Dragon (Non-Foil),"Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Creature — Dragon • Mana Cost: {3}{R}{R} • Text: Flying, haste Whenever this creature attacks or becomes the target of a spell, create a Treasure token. Treasures you control have ""{T}, Sacrifice this artifact: Add two mana of any one color.""",1,Buy it Now,30,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/1/1/1183d4d7-094b-4024-ab1d-23c458cb7e71.jpg?1726868808,,,,,,,
Trading Card Games,Magic: The Gathering,Overlord of the Balemurk (Non-Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Enchantment Creature — Avatar Horror • Mana Cost: {3}{B}{B} • Text: Impending 5—{1}{B} (If you cast this spell for its impending cost, it enters with five time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Whenever this permanent enters or attacks, mill four cards, then you may return a non-Avatar creature card or a planeswalker card from your graveyard to your hand.",1,Buy it Now,30,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/6/d/6da8e15d-033e-41ab-9f95-656a5737bdac.jpg?1726287294,,,,,,,
Trading Card Games,Magic: The Gathering,Enduring Courage (Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Enchantment Creature — Dog Glimmer • Mana Cost: {2}{R}{R} • Text: Whenever another creature you control enters, it gets +2/+0 and gains haste until end of turn. When Enduring Courage dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",1,Buy it Now,29,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/8/2/82c7fa72-3c5f-49db-95f0-9a1c5d404651.jpg?1727652983,,,,,,,
Trading Card Games,Magic: The Gathering,Craterhoof Behemoth (Foil),"Set: Innistrad Remastered • Rarity: Mythic • Language: En • Type: Creature — Beast • Mana Cost: {5}{G}{G}{G} • Text: Haste When this creature enters, creatures you control gain trample and get +X/+X until end of turn, where X is the number of creatures you control.",1,Buy it Now,28,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/7/7/777bb4ba-a821-4a83-a9e2-8827e7eff98f.jpg?1736551389,,,,,,,
Trading Card Games,Magic: The Gathering,Sylvan Paradise (Non-Foil),Set: Legends • Rarity: Uncommon • Language: Pt • Type: Instant • Mana Cost: {G} • Text: One or more target creatures become green until end of turn.,1,Buy it Now,27,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/f/3/f323c3bb-cece-4035-b1a7-c4817cf7a08c.jpg?1562861841,,,,,,,
Trading Card Games,Magic: The Gathering,Savage Order (Foil),"Set: Jurassic World Collection • Rarity: Rare • Language: En • Type: Sorcery • Mana Cost: {2}{G}{G} • Text: As an additional cost to cast this spell, sacrifice a creature with power 4 or greater. Search your library for a Dinosaur creature card, put it onto the battlefield, then shuffle. It gains indestructible until your next turn.",1,Buy it Now,27,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/f/5/f571ef55-50dd-4624-aa42-fea5a0303033.jpg?1698988745,,,,,,,
Trading Card Games,Magic: The Gathering,Temple Garden (Foil),"Set: Ravnica Remastered • Rarity: Rare • Language: En • Type: Land — Forest Plains • Text: ({T}: Add {G} or {W}.) As this land enters, you may pay 2 life. If you don't, it enters tapped.",1,Buy it Now,27,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/5/25f1e1bc-b32e-473b-9c6f-4fbe6f657bbf.jpg?1702416424,,,,,,,
Trading Card Games,Magic: The Gathering,Three Tree City (Foil),"Set: Bloomburrow • Rarity: Rare • Language: En • Type: Legendary Land • Text: As Three Tree City enters, choose a creature type. {T}: Add {C}. {2}, {T}: Choose a color. Add an amount of mana of that color equal to the number of creatures you control of the chosen type.",1,Buy it Now,26,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/5/6/56f88a48-cced-4a9d-8c19-e4f105f0d8a2.jpg?1721427358,,,,,,,
Trading Card Games,Magic: The Gathering,Cyberman Patrol (Foil),"Set: Doctor Who • Rarity: Uncommon • Language: En • Type: Artifact Creature — Cyberman • Mana Cost: {2} • Text: Artifact creatures you control have afflict 3. (Whenever a creature with afflict 3 becomes blocked, defending player loses 3 life.)",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/c/2/c2fad0f5-37ed-456b-bc17-7a7739f5c01b.jpg?1696638663,,,,,,,
Trading Card Games,Magic: The Gathering,Enduring Innocence (Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Enchantment Creature — Sheep Glimmer • Mana Cost: {1}{W}{W} • Text: Lifelink Whenever one or more other creatures you control with power 2 or less enter, draw a card. This ability triggers only once each turn. When Enduring Innocence dies, if it was a creature, return it to the battlefield under its owner's control. It's an enchantment. (It's not a creature.)",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/7/a/7aca1ee8-c1ae-4052-b9d0-1a2903f61c88.jpg?1726287332,,,,,,,
Trading Card Games,Magic: The Gathering,Flesh Duplicate (Foil),"Set: Doctor Who • Rarity: Rare • Language: En • Type: Creature — Shapeshifter Rebel • Mana Cost: {U}{U} • Text: You may have this creature enter as a copy of any creature on the battlefield, except it has vanishing 3 if that creature doesn't have vanishing. (A permanent with vanishing 3 enters with three time counters on it. At the beginning of your upkeep, remove a time counter from it. When the last is removed, sacrifice it.)",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/2/b/2b37617e-bba7-4d85-8092-9b43be7fec40.jpg?1696638454,,,,,,,
Trading Card Games,Magic: The Gathering,Gloomlake Verge (Foil),Set: Duskmourn: House of Horror • Rarity: Rare • Language: En • Type: Land • Text: {T}: Add {U}. {T}: Add {B}. Activate only if you control an Island or a Swamp.,1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/b/4/b414e4bd-a443-4ab3-bee4-1ad1d039aa1a.jpg?1737649070,,,,,,,
Trading Card Games,Magic: The Gathering,Heroic Intervention (Non-Foil),Set: Secret Lair Drop • Rarity: Rare • Language: En • Type: Instant • Mana Cost: {1}{G} • Text: Permanents you control gain hexproof and indestructible until end of turn.,1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/0/2/02f7ffb0-ad48-4f2c-af43-a86a9546a1b2.jpg?1729295822,,,,,,,
Trading Card Games,Magic: The Gathering,"Lotho, Corrupt Shirriff (Foil)","Set: The Lord of the Rings: Tales of Middle-earth • Rarity: Rare • Language: En • Type: Legendary Creature — Halfling Rogue • Mana Cost: {W}{B} • Text: Whenever a player casts their second spell each turn, you lose 1 life and create a Treasure token. (It's an artifact with ""{T}, Sacrifice this token: Add one mana of any color."")",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/8/1/81886cb8-2c7b-41fa-8512-5e16d46a0fd6.jpg?1695448639,,,,,,,
Trading Card Games,Magic: The Gathering,Overlord of the Balemurk (Non-Foil),"Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Enchantment Creature — Avatar Horror • Mana Cost: {3}{B}{B} • Text: Impending 5—{1}{B} (If you cast this spell for its impending cost, it enters with five time counters and isn't a creature until the last is removed. At the beginning of your end step, remove a time counter from it.) Whenever this permanent enters or attacks, mill four cards, then you may return a non-Avatar creature card or a planeswalker card from your graveyard to your hand.",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/9/b/9b911653-7b96-4cf3-a907-13c5c53a14f7.jpg?1726286269,,,,,,,
Trading Card Games,Magic: The Gathering,Static Orb (Foil),"Set: Mystery Booster 2 • Rarity: Rare • Language: En • Type: Artifact • Mana Cost: {3} • Text: As long as this artifact is untapped, players can't untap more than two permanents during their untap steps.",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/a/d/add8f464-7357-46f1-b435-8ec6bea121c1.jpg?1723224723,,,,,,,
Trading Card Games,Magic: The Gathering,Talon Gates of Madara (Non-Foil),"Set: Modern Horizons 3 Commander • Rarity: Rare • Language: En • Type: Land — Gate • Text: When this land enters, up to one target creature phases out. {T}: Add {C}. {1}, {T}: Add one mana of any color. {4}: Put this card from your hand onto the battlefield.",1,Buy it Now,25,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/d/e/de92facf-762b-4a23-8d5e-bb673b0500c0.jpg?1717190007,,,,,,,
Trading Card Games,Magic: The Gathering,"Chandra, Spark Hunter (Foil)","Set: Aetherdrift • Rarity: Mythic • Language: Ja • Type: Legendary Planeswalker — Chandra • Mana Cost: {3}{R} • Text: At the beginning of combat on your turn, choose up to one target Vehicle you control. Until end of turn, it becomes an artifact creature and gains haste. +2: You may sacrifice an artifact or discard a card. If you do, draw a card. 0: Create a 3/2 colorless Vehicle artifact token with crew 1. −7: You get an emblem with ""Whenever an artifact you control enters, this emblem deals 3 damage to any target.""",1,Buy it Now,24,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/a/1/a1864b99-6893-4e4d-94de-641837c05da3.jpg?1739042203,,,,,,,
Trading Card Games,Magic: The Gathering,"Koma, Cosmos Serpent (Foil)","Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Legendary Creature — Serpent • Mana Cost: {3}{G}{G}{U}{U} • Text: This spell can't be countered. At the beginning of each upkeep, create a 3/3 blue Serpent creature token named Koma's Coil. Sacrifice another Serpent: Choose one — • Tap target permanent. Its activated abilities can't be activated this turn. • Koma gains indestructible until end of turn.",1,Buy it Now,24,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/6/a/6ac5042c-758a-4bd7-b5cc-370425a067a0.jpg?1729794261,,,,,,,
Trading Card Games,Magic: The Gathering,Trinisphere (Non-Foil),"Set: Secret Lair Drop • Rarity: Mythic • Language: En • Type: Artifact • Mana Cost: {3} • Text: As long as this artifact is untapped, each spell that would cost less than three mana to cast costs three mana to cast. (Additional mana in the cost may be paid with any color of mana or colorless mana. For example, a spell that would cost {1}{B} to cast costs {2}{B} to cast instead.)",1,Buy it Now,24,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/5/2/52ea8286-225b-4990-981a-6b8c49748794.jpg?1712629184,,,,,,,
Trading Card Games,Magic: The Gathering,"Valgavoth, Terror Eater (Foil)","Set: Duskmourn: House of Horror • Rarity: Mythic • Language: En • Type: Legendary Creature — Elder Demon • Mana Cost: {6}{B}{B}{B} • Text: Flying, lifelink Ward—Sacrifice three nonland permanents. If a card you didn't control would be put into an opponent's graveyard from anywhere, exile it instead. During your turn, you may play cards exiled with Valgavoth. If you cast a spell this way, pay life equal to its mana value rather than pay its mana cost.",1,Buy it Now,24,1-3 oz,FALSE,Not Hazmat,Near Mint,,,https://cards.scryfall.io/normal/front/9/e/9ee79357-2488-41a1-8f8c-dfcb77206f8a.jpg?1726639234,,,,,,,
