Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Type,Mana Cost,Colors,Color Identity,Oracle Text,Commander Legal,Pauper Legal,CMC,Image URL
Blazing Torch,inr,Innistrad Remastered,254,normal,common,1,,ea2d3a1c-287e-4b85-8f3d-25fdcf79f47b,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{1},,,"Equipped creature can't be blocked by Vampires or Zombies.
Equipped creature has ""{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to any target.""
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",legal,legal,1.0,https://cards.scryfall.io/normal/front/e/a/ea2d3a1c-287e-4b85-8f3d-25fdcf79f47b.jpg?1736468570
Village Messenger // Moonrise Intruder,inr,Innistrad Remastered,179,normal,common,1,,8bdc98cd-d03a-4c24-8642-b9ffb1f144c6,0.0,False,False,near_mint,en,USD,Creature — Human Werewolf // Creature — Werewolf,,,R,,legal,legal,1.0,https://cards.scryfall.io/normal/front/8/b/8bdc98cd-d03a-4c24-8642-b9ffb1f144c6.jpg?1737775526
Hamlet Captain,inr,Innistrad Remastered,201,normal,uncommon,1,,06e5d76a-0cec-40e0-b694-2b5c8484f6c0,0.0,False,False,near_mint,en,USD,Creature — Human Warrior,{1}{G},G,G,"Whenever this creature attacks or blocks, other Humans you control get +1/+1 until end of turn.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/0/6/06e5d76a-0cec-40e0-b694-2b5c8484f6c0.jpg?1736468348
Ghoulish Procession,inr,Innistrad Remastered,110,normal,uncommon,1,,c178227f-3b66-45f7-9838-dff70f1f2003,0.0,False,False,near_mint,en,USD,Enchantment,{1}{B},B,B,"Whenever one or more nontoken creatures die, create a 2/2 black Zombie creature token with decayed. This ability triggers only once each turn. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/c/1/c178227f-3b66-45f7-9838-dff70f1f2003.jpg?1736467958
Town Gossipmonger // Incited Rabble,inr,Innistrad Remastered,451,normal,uncommon,1,,51d3da6f-5598-4795-8a27-91734c9fc688,0.0,False,False,near_mint,en,USD,Creature — Human // Creature — Human,,,"R, W",,legal,not_legal,1.0,https://cards.scryfall.io/normal/front/5/1/51d3da6f-5598-4795-8a27-91734c9fc688.jpg?1738706655
Elvish Guidance,ons,Onslaught,255,normal,common,1,,8698c46b-2628-4482-88f9-e37a01ade274,0.0,False,False,near_mint,en,USD,Enchantment — Aura,{2}{G},G,G,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional {G} for each Elf on the battlefield.",legal,legal,3.0,https://cards.scryfall.io/normal/front/8/6/8698c46b-2628-4482-88f9-e37a01ade274.jpg?1562926724
Falkenrath Torturer,inr,Innistrad Remastered,109,normal,common,1,,e0e896a7-fd51-4c24-b374-c4eace9ed1a2,0.0,False,False,near_mint,en,USD,Creature — Vampire,{2}{B},B,B,"Sacrifice a creature: This creature gains flying until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on this creature.",legal,legal,3.0,https://cards.scryfall.io/normal/front/e/0/e0e896a7-fd51-4c24-b374-c4eace9ed1a2.jpg?1736467951
Dawnhart Disciple,inr,Innistrad Remastered,191,normal,common,1,,4463b28a-c2c9-4cbf-951e-e3ce6b1f14cb,0.0,False,False,near_mint,en,USD,Creature — Human Warlock,{1}{G},G,G,"Whenever another Human you control enters, this creature gets +1/+1 until end of turn.",legal,legal,2.0,https://cards.scryfall.io/normal/front/4/4/4463b28a-c2c9-4cbf-951e-e3ce6b1f14cb.jpg?1736468301
Moonlight Hunt,inr,Innistrad Remastered,209,normal,uncommon,1,,6d36aecd-4bd8-4350-9161-e6feecc09bb9,0.0,False,False,near_mint,en,USD,Instant,{1}{G},G,G,Choose target creature you don't control. Each creature you control that's a Wolf or a Werewolf deals damage equal to its power to that creature.,legal,not_legal,2.0,https://cards.scryfall.io/normal/front/6/d/6d36aecd-4bd8-4350-9161-e6feecc09bb9.jpg?1736468386
Sever the Bloodline,inr,Innistrad Remastered,130,normal,uncommon,1,,a2d4152d-c128-453c-86f5-f2ebcfd48b98,0.0,False,False,near_mint,en,USD,Sorcery,{3}{B},B,B,"Exile target creature and all other creatures with the same name as that creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/a/2/a2d4152d-c128-453c-86f5-f2ebcfd48b98.jpg?1736473279
Mountain,inr,Innistrad Remastered,294,normal,common,1,,f8739e90-a967-4e06-b966-1a15755a25bd,0.0,False,False,near_mint,en,USD,Basic Land — Mountain,,,R,({T}: Add {R}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/f/8/f8739e90-a967-4e06-b966-1a15755a25bd.jpg?1736551740
Borrowed Hostility,inr,Innistrad Remastered,396,normal,common,1,,a3684fcb-6fb0-40b0-ac43-11f664868a5c,0.0,False,False,near_mint,en,USD,Instant,{R},R,R,"Escalate {3} (Pay this cost for each mode chosen beyond the first.)
Choose one or both —
• Target creature gets +3/+0 until end of turn.
• Target creature gains first strike until end of turn.",legal,legal,1.0,https://cards.scryfall.io/normal/front/a/3/a3684fcb-6fb0-40b0-ac43-11f664868a5c.jpg?1736551532
Fiery Temper,inr,Innistrad Remastered,154,normal,uncommon,1,,1d3a3a1d-c393-4a57-8a0e-5907d1722331,0.0,False,False,near_mint,en,USD,Instant,{1}{R}{R},R,R,"Fiery Temper deals 3 damage to any target.
Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/1/d/1d3a3a1d-c393-4a57-8a0e-5907d1722331.jpg?1736468138
Soul Separator,inr,Innistrad Remastered,446,normal,uncommon,1,,9e1e52fe-bceb-416b-bd7f-2887f25c7b20,0.0,False,False,near_mint,en,USD,Artifact,{3},,,"{5}, {T}, Sacrifice this artifact: Exile target creature card from your graveyard. Create a token that's a copy of that card, except it's 1/1, it's a Spirit in addition to its other types, and it has flying. Create a black Zombie creature token with power equal to that card's power and toughness equal to that card's toughness.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/9/e/9e1e52fe-bceb-416b-bd7f-2887f25c7b20.jpg?1736551519
Spectral Shepherd,inr,Innistrad Remastered,349,normal,uncommon,1,,89fd38be-8b2a-4ff4-8f51-e7d6971f7aef,0.0,False,False,near_mint,en,USD,Creature — Spirit,{2}{W},W,"U, W","Flying
{1}{U}: Return target Spirit you control to its owner's hand.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/8/9/89fd38be-8b2a-4ff4-8f51-e7d6971f7aef.jpg?1736551459
Voldaren Epicure,inr,Innistrad Remastered,405,normal,common,1,,1cd8c532-132d-4291-b111-8f1ff6064bf6,0.0,False,False,near_mint,en,USD,Creature — Vampire,{R},R,R,"When this creature enters, it deals 1 damage to each opponent. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")",legal,legal,1.0,https://cards.scryfall.io/normal/front/1/c/1cd8c532-132d-4291-b111-8f1ff6064bf6.jpg?1736551117
Sanitarium Skeleton,inr,Innistrad Remastered,129,normal,common,1,,119020b3-9d26-4153-b7b9-28375f7fa915,0.0,False,False,near_mint,en,USD,Creature — Skeleton,{B},B,B,{2}{B}: Return this card from your graveyard to your hand.,legal,legal,1.0,https://cards.scryfall.io/normal/front/1/1/119020b3-9d26-4153-b7b9-28375f7fa915.jpg?1736468037
Voldaren Epicure,inr,Innistrad Remastered,182,normal,common,1,,e8fe855c-fe94-4de7-a033-9892a9d6ee0e,0.0,False,False,near_mint,en,USD,Creature — Vampire,{R},R,R,"When this creature enters, it deals 1 damage to each opponent. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")",legal,legal,1.0,https://cards.scryfall.io/normal/front/e/8/e8fe855c-fe94-4de7-a033-9892a9d6ee0e.jpg?1736468269
Wild-Field Scarecrow,inr,Innistrad Remastered,274,normal,common,1,,13629238-f907-47b7-bdba-164e38c7b6d2,0.0,False,False,near_mint,en,USD,Artifact Creature — Scarecrow,{3},,,"Defender
{2}, Sacrifice this creature: Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.",legal,legal,3.0,https://cards.scryfall.io/normal/front/1/3/13629238-f907-47b7-bdba-164e38c7b6d2.jpg?1737936171
Furyblade Vampire,inr,Innistrad Remastered,155,normal,uncommon,1,,95a38a53-d83a-4df7-8caa-40995b0c4235,0.0,False,False,near_mint,en,USD,Creature — Vampire Berserker,{1}{R},R,R,"Trample
At the beginning of combat on your turn, you may discard a card. If you do, this creature gets +3/+0 until end of turn.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/9/5/95a38a53-d83a-4df7-8caa-40995b0c4235.jpg?1736468144
Ulvenwald Mysteries,inr,Innistrad Remastered,222,normal,uncommon,1,,8a3997f1-5b02-4ca5-a390-fedb5874b575,0.0,False,False,near_mint,en,USD,Enchantment,{2}{G},G,G,"Whenever a nontoken creature you control dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, create a 1/1 white Human Soldier creature token.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/8/a/8a3997f1-5b02-4ca5-a390-fedb5874b575.jpg?1736468442
Rise from the Tides,inr,Innistrad Remastered,82,normal,uncommon,1,,a16fccff-ca97-4416-b42f-86d314b1d0af,0.0,False,False,near_mint,en,USD,Sorcery,{5}{U},U,U,Create a tapped 2/2 black Zombie creature token for each instant and sorcery card in your graveyard.,legal,not_legal,6.0,https://cards.scryfall.io/normal/front/a/1/a16fccff-ca97-4416-b42f-86d314b1d0af.jpg?1736467811
Smoldering Werewolf // Erupting Dreadwolf,inr,Innistrad Remastered,465,normal,uncommon,1,,ca129694-150c-47c6-bdda-c3ba3d1fdc61,0.0,False,False,near_mint,en,USD,Creature — Werewolf Horror // Creature — Eldrazi Werewolf,,,R,,legal,not_legal,4.0,https://cards.scryfall.io/normal/front/c/a/ca129694-150c-47c6-bdda-c3ba3d1fdc61.jpg?1738706754
Scorned Villager // Moonscarred Werewolf,inr,Innistrad Remastered,468,normal,common,1,,9152b78f-bd35-4e6a-9bd3-d0a65d898e95,0.0,False,False,near_mint,en,USD,Creature — Human Werewolf // Creature — Werewolf,,,G,,legal,legal,2.0,https://cards.scryfall.io/normal/front/9/1/9152b78f-bd35-4e6a-9bd3-d0a65d898e95.jpg?1738706798
Abundant Maw,inr,Innistrad Remastered,329,normal,common,1,,1699cd85-37f2-4126-be07-bd11a8153c10,0.0,False,False,near_mint,en,USD,Creature — Eldrazi Leech,{8},,B,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",legal,legal,8.0,https://cards.scryfall.io/normal/front/1/6/1699cd85-37f2-4126-be07-bd11a8153c10.jpg?1736551097
Ancestral Anger,inr,Innistrad Remastered,141,normal,common,1,,eeaca66d-23bd-4e8f-8d4a-c5864dd447be,0.0,False,False,near_mint,en,USD,Sorcery,{R},R,R,"Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard.
Draw a card.",legal,legal,1.0,https://cards.scryfall.io/normal/front/e/e/eeaca66d-23bd-4e8f-8d4a-c5864dd447be.jpg?1736468086
Strength of Arms,inr,Innistrad Remastered,42,normal,common,1,,a08fb8ec-6890-48f9-97db-0584a9a77578,0.0,False,False,near_mint,en,USD,Instant,{W},W,W,"Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token.",legal,legal,1.0,https://cards.scryfall.io/normal/front/a/0/a08fb8ec-6890-48f9-97db-0584a9a77578.jpg?1736467592
Epitaph Golem,inr,Innistrad Remastered,262,normal,common,1,,202125f5-9182-436f-86df-701cdc7e60ce,0.0,False,False,near_mint,en,USD,Artifact Creature — Golem,{5},,,{2}: Put target card from your graveyard on the bottom of your library.,legal,legal,5.0,https://cards.scryfall.io/normal/front/2/0/202125f5-9182-436f-86df-701cdc7e60ce.jpg?1737936168
It of the Horrid Swarm,inr,Innistrad Remastered,6,normal,common,1,,ba983caf-72b4-419e-84dc-1ad0215a865c,0.0,False,False,near_mint,en,USD,Creature — Eldrazi Insect,{8},,G,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, create two 1/1 green Insect creature tokens.",legal,legal,8.0,https://cards.scryfall.io/normal/front/b/a/ba983caf-72b4-419e-84dc-1ad0215a865c.jpg?1736467438
Fleshtaker,inr,Innistrad Remastered,235,normal,uncommon,1,,4b9bf7a7-28f8-410e-86d3-5637e473a5a1,0.0,False,False,near_mint,en,USD,Creature — Human Assassin,{W}{B},"B, W","B, W","Whenever you sacrifice another creature, you gain 1 life and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{1}, Sacrifice another creature: This creature gets +2/+2 until end of turn.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/4/b/4b9bf7a7-28f8-410e-86d3-5637e473a5a1.jpg?1736468499
Cobbled Lancer,inr,Innistrad Remastered,56,normal,uncommon,1,,ad933b4d-e1e7-49cc-aa18-8eee2ec8c8a5,0.0,False,False,near_mint,en,USD,Creature — Zombie Horse,{U},U,U,"As an additional cost to cast this spell, exile a creature card from your graveyard.
{3}{U}, Exile this card from your graveyard: Draw a card.",legal,not_legal,1.0,https://cards.scryfall.io/normal/front/a/d/ad933b4d-e1e7-49cc-aa18-8eee2ec8c8a5.jpg?1736467676
Galvanic Juggernaut,inr,Innistrad Remastered,263,normal,uncommon,1,,9cc1c735-22ad-4714-84e7-253df00941fa,0.0,False,False,near_mint,en,USD,Artifact Creature — Juggernaut,{4},,,"This creature attacks each combat if able.
This creature doesn't untap during your untap step.
Whenever another creature dies, untap this creature.",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/9/c/9cc1c735-22ad-4714-84e7-253df00941fa.jpg?1736468613
Plains,inr,Innistrad Remastered,289,normal,common,1,,c574549f-da6c-4080-8748-6ef146a7ae48,0.0,False,False,near_mint,en,USD,Basic Land — Plains,,,W,({T}: Add {W}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/c/5/c574549f-da6c-4080-8748-6ef146a7ae48.jpg?1736551603
Ulvenwald Mysteries,inr,Innistrad Remastered,423,normal,uncommon,1,,88a7bf3a-9c87-4937-a6e1-dfbc589c8e35,0.0,False,False,near_mint,en,USD,Enchantment,{2}{G},G,G,"Whenever a nontoken creature you control dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, create a 1/1 white Human Soldier creature token.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/8/8/88a7bf3a-9c87-4937-a6e1-dfbc589c8e35.jpg?1736551445
Crawl from the Cellar,inr,Innistrad Remastered,376,normal,common,1,,723d39c7-a296-4c85-94b3-1f0b3aa20bf5,0.0,False,False,near_mint,en,USD,Sorcery,{B},B,B,"Return target creature card from your graveyard to your hand. Put a +1/+1 counter on up to one target Zombie you control.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,legal,1.0,https://cards.scryfall.io/normal/front/7/2/723d39c7-a296-4c85-94b3-1f0b3aa20bf5.jpg?1736551371
Deranged Assistant,inr,Innistrad Remastered,61,normal,common,1,,3960ed42-b3e7-4464-b345-1b9b22719efc,0.0,False,False,near_mint,en,USD,Creature — Human Wizard,{1}{U},U,U,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)",legal,legal,2.0,https://cards.scryfall.io/normal/front/3/9/3960ed42-b3e7-4464-b345-1b9b22719efc.jpg?1736467714
Eccentric Farmer,inr,Innistrad Remastered,194,normal,common,1,,fe2a1718-eae1-4330-b494-c3088b992aae,0.0,False,False,near_mint,en,USD,Creature — Human Peasant,{2}{G},G,G,"When this creature enters, mill three cards, then you may return a land card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/f/e/fe2a1718-eae1-4330-b494-c3088b992aae.jpg?1736468317
Vilespawn Spider,inr,Innistrad Remastered,251,normal,uncommon,1,,58901777-f8bf-450b-acf8-d60a73c3322f,0.0,False,False,near_mint,en,USD,Creature — Spider,{G}{U},"G, U","G, U","Reach
At the beginning of your upkeep, mill a card. (Put the top card of your library into your graveyard.)
{2}{G}{U}, {T}, Sacrifice this creature: Create a 1/1 green Insect creature token for each creature card in your graveyard. Activate only as a sorcery.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/5/8/58901777-f8bf-450b-acf8-d60a73c3322f.jpg?1736468562
Essence Flux,inr,Innistrad Remastered,354,normal,common,1,,be9cb87e-d741-4f17-bbb7-f6d2292f820f,0.0,False,False,near_mint,en,USD,Instant,{U},U,U,"Exile target creature you control, then return that card to the battlefield under its owner's control. If it's a Spirit, put a +1/+1 counter on it.",legal,legal,1.0,https://cards.scryfall.io/normal/front/b/e/be9cb87e-d741-4f17-bbb7-f6d2292f820f.jpg?1736551592
Forest,inr,Innistrad Remastered,296,normal,common,1,,a7cdabc9-39d6-4380-8e14-e7792d7463dd,0.0,False,False,near_mint,en,USD,Basic Land — Forest,,,G,({T}: Add {G}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/a/7/a7cdabc9-39d6-4380-8e14-e7792d7463dd.jpg?1736551540
Alchemist's Greeting,inr,Innistrad Remastered,140,normal,common,1,,f36e2146-b6a9-4b61-9ccf-969a2c79b747,0.0,False,False,near_mint,en,USD,Sorcery,{4}{R},R,R,"Alchemist's Greeting deals 4 damage to target creature.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal,5.0,https://cards.scryfall.io/normal/front/f/3/f36e2146-b6a9-4b61-9ccf-969a2c79b747.jpg?1736468080
Eaten Alive,inr,Innistrad Remastered,106,normal,common,1,,143d278d-d99b-42da-9fbd-9ab70526d53a,0.0,False,False,near_mint,en,USD,Sorcery,{B},B,B,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",legal,legal,1.0,https://cards.scryfall.io/normal/front/1/4/143d278d-d99b-42da-9fbd-9ab70526d53a.jpg?1736467937
Tower Geist,inr,Innistrad Remastered,93,normal,common,1,,88523d44-4469-4685-8f59-dbcf255e7fe0,0.0,False,False,near_mint,en,USD,Creature — Spirit,{3}{U},U,U,"Flying
When this creature enters, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",legal,legal,4.0,https://cards.scryfall.io/normal/front/8/8/88523d44-4469-4685-8f59-dbcf255e7fe0.jpg?1737775516
Midnight Scavengers,inr,Innistrad Remastered,123,normal,common,1,,bc079c81-85e8-4a0d-83fe-533c4feaa343,0.0,False,False,near_mint,en,USD,Creature — Human Rogue,{4}{B},B,B,"When this creature enters, you may return target creature card with mana value 3 or less from your graveyard to your hand.
(Melds with Graf Rats.)",legal,legal,5.0,https://cards.scryfall.io/normal/front/b/c/bc079c81-85e8-4a0d-83fe-533c4feaa343.jpg?1738701336
Somberwald Sage,inr,Innistrad Remastered,215,normal,uncommon,1,,9d8dfef3-4c87-4eb8-b0d4-8f8485de792c,0.0,False,False,near_mint,en,USD,Creature — Human Druid,{2}{G},G,G,{T}: Add three mana of any one color. Spend this mana only to cast creature spells.,legal,not_legal,3.0,https://cards.scryfall.io/normal/front/9/d/9d8dfef3-4c87-4eb8-b0d4-8f8485de792c.jpg?1736473218
Faith Unbroken,inr,Innistrad Remastered,21,normal,uncommon,1,,514df7e7-3050-41ce-bd44-f215bbcfd1c5,0.0,False,False,near_mint,en,USD,Enchantment — Aura,{3}{W},W,W,"Enchant creature you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +2/+2.",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/5/1/514df7e7-3050-41ce-bd44-f215bbcfd1c5.jpg?1736467502
Indulgent Aristocrat,inr,Innistrad Remastered,118,normal,uncommon,1,,07015524-874f-4856-a5c1-3148bd126886,0.0,False,False,near_mint,en,USD,Creature — Vampire Noble,{B},B,B,"Lifelink
{2}, Sacrifice a creature: Put a +1/+1 counter on each Vampire you control.",legal,not_legal,1.0,https://cards.scryfall.io/normal/front/0/7/07015524-874f-4856-a5c1-3148bd126886.jpg?1736467987
Stromkirk Occultist,inr,Innistrad Remastered,402,normal,uncommon,1,,844a4c16-b17c-48ed-a80a-782a3c119db9,0.0,False,False,near_mint,en,USD,Creature — Vampire Horror,{2}{R},R,R,"Trample
Whenever this creature deals combat damage to a player, exile the top card of your library. Until end of turn, you may play that card.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/8/4/844a4c16-b17c-48ed-a80a-782a3c119db9.jpg?1736551431
Cathar Commando,inr,Innistrad Remastered,336,normal,common,1,,f1f374f7-5d0c-4965-97f0-cfc80f22b039,0.0,False,False,near_mint,en,USD,Creature — Human Soldier,{1}{W},W,W,"Flash
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",legal,legal,2.0,https://cards.scryfall.io/normal/front/f/1/f1f374f7-5d0c-4965-97f0-cfc80f22b039.jpg?1736551727
Swamp,inr,Innistrad Remastered,293,normal,common,1,,4bc918af-527c-46d7-861d-32e9150ed3df,0.0,False,False,near_mint,en,USD,Basic Land — Swamp,,,B,({T}: Add {B}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/4/b/4bc918af-527c-46d7-861d-32e9150ed3df.jpg?1736551235
Swamp,inr,Innistrad Remastered,292,normal,common,2,,806d26a2-2f2a-4a77-b5bc-a6c97ba5db42,0.0,False,False,near_mint,en,USD,Basic Land — Swamp,,,B,({T}: Add {B}.),legal,legal,0.0,https://cards.scryfall.io/normal/front/8/0/806d26a2-2f2a-4a77-b5bc-a6c97ba5db42.jpg?1736551417
Icewrought Sentry,woe,Wilds of Eldraine,55,normal,uncommon,1,,859419d3-cd15-4362-98b3-a7ff98e29692,0.0,False,False,near_mint,en,USD,Creature — Elemental Soldier,{2}{U},U,U,"Vigilance
Whenever this creature attacks, you may pay {1}{U}. When you do, tap target creature an opponent controls.
Whenever you tap an untapped creature an opponent controls, this creature gets +2/+1 until end of turn.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/8/5/859419d3-cd15-4362-98b3-a7ff98e29692.jpg?1692937080
Ichorplate Golem,one,Phyrexia: All Will Be One,230,normal,uncommon,1,,e555abb1-ffd4-4143-9be8-ec8a758f5c2a,0.0,False,False,near_mint,en,USD,Artifact Creature — Phyrexian Golem,{3},,,"Whenever a creature you control enters, if it has one or more oil counters on it, put an oil counter on it.
Creatures you control with oil counters on them get +1/+1.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/e/5/e555abb1-ffd4-4143-9be8-ec8a758f5c2a.jpg?1675957234
Icy Manipulator,dmr,Dominaria Remastered,225,normal,uncommon,1,,ac5a54ca-f175-4005-895f-d76effd6178e,0.0,False,False,near_mint,en,USD,Artifact,{4},,,"{1}, {T}: Tap target artifact, creature, or land.",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/a/c/ac5a54ca-f175-4005-895f-d76effd6178e.jpg?1675201006
