Category,Sub Category,Title,Description,Quantity,Type,Price,Shipping Profile,Offerable,Hazmat,Condition,Cost Per Item,SKU,Image URL 1,Image URL 2,Image URL 3,Image URL 4,Image URL 5,Image URL 6,Image URL 7,Image URL 8
Trading Cards,Magic: The Gathering,Liliana of the Dark Realms normal,"Foil: normal
Collector number: 1593
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: ja
color_identity: B
colors: B
mana_cost: {2}{B}{B}
type_line: Legendary Planeswalker — Liliana
oracle_text: +1: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.
−3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.
−6: You get an emblem with ""Swamps you control have '{T}: Add {B}{B}{B}{B}.'""",1,,17,,No,No,near_mint,16.94,,https://cards.scryfall.io/normal/front/f/b/fb89c6b9-991a-453f-a787-7fb4c1642737.jpg?1727567067,,,,,,,
Trading Cards,Magic: The Gathering,Elspeth Tirel normal,"Foil: normal
Collector number: 1585
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: ja
color_identity: W
colors: W
mana_cost: {3}{W}{W}
type_line: Legendary Planeswalker — Elspeth
oracle_text: +2: You gain 1 life for each creature you control.
−2: Create three 1/1 white Soldier creature tokens.
−5: Destroy all other permanents except for lands and tokens.",1,,34,,No,No,near_mint,33.99,,https://cards.scryfall.io/normal/front/9/5/95d3a061-03b4-4004-8a6c-4374513de17a.jpg?1727566980,,,,,,,
Trading Cards,Magic: The Gathering,The Royal Scions normal,"Foil: normal
Collector number: 1600
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: ja
color_identity: R, U
colors: R, U
mana_cost: {1}{U}{R}
type_line: Legendary Planeswalker — Will Rowan
oracle_text: +1: Draw a card, then discard a card.
+1: Target creature gets +2/+0 and gains first strike and trample until end of turn.
−8: Draw four cards. When you do, The Royal Scions deals damage to any target equal to the number of cards in your hand.",1,,3,,No,No,near_mint,3.3,,https://cards.scryfall.io/normal/front/d/4/d4ecf1fd-f963-4bc0-8c01-ef781c14e463.jpg?1727567167,,,,,,,
Trading Cards,Magic: The Gathering,Eliminate normal,"Foil: normal
Collector number: 93
Set name: Strixhaven Mystical Archive
Set code: STA
Rarity: uncommon
Language: ja
color_identity: B
colors: B
mana_cost: {1}{B}
type_line: Instant
oracle_text: Destroy target creature or planeswalker with mana value 3 or less.",1,,1,,No,No,near_mint,0.36,,https://cards.scryfall.io/normal/front/6/5/65e93381-0192-4b89-af64-dcc7150b757b.jpg?1638112567,,,,,,,
Trading Cards,Magic: The Gathering,Negate foil,"Foil: foil
Collector number: 81
Set name: Strixhaven Mystical Archive
Set code: STA
Rarity: uncommon
Language: ja
color_identity: U
colors: U
mana_cost: {1}{U}
type_line: Instant
oracle_text: Counter target noncreature spell.",1,,3,,No,No,near_mint,2.71,,https://cards.scryfall.io/normal/front/3/5/35308c10-f8e9-4c35-a680-a3dfe16ac63a.jpg?1638112090,,,,,,,
Trading Cards,Magic: The Gathering,Krosan Grip normal,"Foil: normal
Collector number: 116
Set name: Strixhaven Mystical Archive
Set code: STA
Rarity: rare
Language: ja
color_identity: G
colors: G
mana_cost: {2}{G}
type_line: Instant
oracle_text: Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
Destroy target artifact or enchantment.",1,,3,,No,No,near_mint,3.03,,https://cards.scryfall.io/normal/front/b/e/bea70da6-8da5-4c9b-8b6d-6a876b046274.jpg?1638110654,,,,,,,
Trading Cards,Magic: The Gathering,Defiant Strike foil,"Foil: foil
Collector number: 66
Set name: Strixhaven Mystical Archive
Set code: STA
Rarity: uncommon
Language: ja
color_identity: W
colors: W
mana_cost: {W}
type_line: Instant
oracle_text: Target creature gets +1/+0 until end of turn.
Draw a card.",2,,1,,No,No,near_mint,0.51,,https://cards.scryfall.io/normal/front/4/4/447c7d1e-8bf9-4558-9480-6f0423f36b81.jpg?1723491493,,,,,,,
Trading Cards,Magic: The Gathering,"Blex, Vexing Pest // Search for Blex normal","Foil: normal
Collector number: 148
Set name: Strixhaven: School of Mages
Set code: STX
Rarity: mythic
Language: ja
color_identity: B, G
colors: 
mana_cost: 
type_line: Legendary Creature — Pest // Sorcery
oracle_text: ",1,,3,,No,No,near_mint,2.66,,https://cards.scryfall.io/normal/front/c/2/c204b7ca-0904-40fa-b20c-92400fae20b8.jpg?1739541943,,,,,,,
Trading Cards,Magic: The Gathering,Agonizing Remorse normal,"Foil: normal
Collector number: 87
Set name: Strixhaven Mystical Archive
Set code: STA
Rarity: uncommon
Language: ja
color_identity: B
colors: B
mana_cost: {1}{B}
type_line: Sorcery
oracle_text: Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.",1,,1,,No,No,near_mint,0.35,,https://cards.scryfall.io/normal/front/f/3/f31b98f3-acc0-4113-8f70-86bf2d36b9c1.jpg?1638112351,,,,,,,
Trading Cards,Magic: The Gathering,"Abuelo, Ancestral Echo normal","Foil: normal
Collector number: 297
Set name: The Lost Caverns of Ixalan
Set code: LCI
Rarity: rare
Language: en
color_identity: U, W
colors: U, W
mana_cost: {1}{W}{U}
type_line: Legendary Creature — Spirit
oracle_text: Flying, ward {2}
{1}{W}{U}: Exile another target creature or artifact you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",1,,1,,No,No,near_mint,0.25,,https://cards.scryfall.io/normal/front/e/0/e0bcc6f3-bae4-485c-82da-56c15c97c7f8.jpg?1699044750,,,,,,,
Trading Cards,Magic: The Gathering,Abundant Growth foil,"Foil: foil
Collector number: 315
Set name: Innistrad Remastered
Set code: INR
Rarity: common
Language: en
color_identity: G
colors: G
mana_cost: {G}
type_line: Enchantment — Aura
oracle_text: Enchant land
When this Aura enters, draw a card.
Enchanted land has ""{T}: Add one mana of any color.""",1,,1,,No,No,near_mint,0.58,,https://cards.scryfall.io/normal/front/f/1/f1e2c03d-8f20-4633-a166-d6dce57cd7a7.jpg?1736468817,,,,,,,
Trading Cards,Magic: The Gathering,Academic Probation foil,"Foil: foil
Collector number: 7
Set name: Strixhaven: School of Mages
Set code: STX
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {1}{W}
type_line: Sorcery — Lesson
oracle_text: Choose one —
• Choose a nonland card name. Opponents can't cast spells with the chosen name until your next turn.
• Choose target nonland permanent. Until your next turn, it can't attack or block, and its activated abilities can't be activated.",1,,1,,No,No,near_mint,0.38,,https://cards.scryfall.io/normal/front/0/5/05521edf-f47f-4e7a-aec5-cdc4ae7368c2.jpg?1637082074,,,,,,,
Trading Cards,Magic: The Gathering,Aeon Chronicler normal,"Foil: normal
Collector number: 51
Set name: Time Spiral Remastered
Set code: TSR
Rarity: rare
Language: en
color_identity: U
colors: U
mana_cost: {3}{U}{U}
type_line: Creature — Avatar
oracle_text: Aeon Chronicler's power and toughness are each equal to the number of cards in your hand.
Suspend X—{X}{3}{U}. X can't be 0.
Whenever a time counter is removed from this card while it's exiled, draw a card.",1,,1,,No,No,near_mint,0.46,,https://cards.scryfall.io/normal/front/5/c/5cec8dcc-8ebb-4640-a5f3-90e6e62c27e5.jpg?1619393737,,,,,,,
Trading Cards,Magic: The Gathering,Aetherflux Conduit normal,"Foil: normal
Collector number: 33
Set name: Aetherdrift Commander
Set code: DRC
Rarity: rare
Language: en
color_identity: 
colors: 
mana_cost: {6}
type_line: Artifact
oracle_text: Whenever you cast a spell, you get an amount of {E} (energy counters) equal to the amount of mana spent to cast that spell.
{T}, Pay fifty {E}: Draw seven cards. You may cast any number of spells from your hand without paying their mana costs.",1,,1,,No,No,near_mint,0.5,,https://cards.scryfall.io/normal/front/f/7/f7628e13-9cf1-4bd4-9d01-e4961677dd12.jpg?1738355452,,,,,,,
Trading Cards,Magic: The Gathering,Aether Revolt normal,"Foil: normal
Collector number: 113
Set name: Modern Horizons 3
Set code: MH3
Rarity: rare
Language: en
color_identity: R
colors: R
mana_cost: {2}{R}{R}
type_line: Enchantment
oracle_text: Revolt — As long as a permanent left the battlefield under your control this turn, if a source you control would deal noncombat damage to an opponent or a permanent an opponent controls, it deals that much damage plus 2 instead.
Whenever you get one or more {E}, this enchantment deals that much damage to any target.",1,,1,,No,No,near_mint,0.4,,https://cards.scryfall.io/normal/front/b/8/b8732e62-cdee-4d32-82a8-8a71a04be7a1.jpg?1717012116,,,,,,,
Trading Cards,Magic: The Gathering,Aether Vial normal,"Foil: normal
Collector number: 216
Set name: Mystery Booster 2
Set code: MB2
Rarity: uncommon
Language: en
color_identity: 
colors: 
mana_cost: {1}
type_line: Artifact
oracle_text: At the beginning of your upkeep, you may put a charge counter on this artifact.
{T}: You may put a creature card with mana value equal to the number of charge counters on this artifact from your hand onto the battlefield.",2,,5,,No,No,near_mint,5.15,,https://cards.scryfall.io/normal/front/f/f/ff937493-c13c-48c3-a42f-7b15ee033759.jpg?1723224257,,,,,,,
Trading Cards,Magic: The Gathering,Afterburner Expert foil,"Foil: foil
Collector number: 150
Set name: Aetherdrift
Set code: DFT
Rarity: rare
Language: en
color_identity: G
colors: G
mana_cost: {2}{G}
type_line: Creature — Goblin Artificer
oracle_text: Exhaust — {2}{G}{G}: Put two +1/+1 counters on this creature. (Activate each exhaust ability only once.)
Whenever you activate an exhaust ability, return this card from your graveyard to the battlefield.",1,,1,,No,No,near_mint,0.46,,https://cards.scryfall.io/normal/front/5/5/555e1bfc-6d07-4979-a914-b2bd1fb031f2.jpg?1738356471,,,,,,,
Trading Cards,Magic: The Gathering,Agonasaur Rex normal,"Foil: normal
Collector number: 343
Set name: Aetherdrift
Set code: DFT
Rarity: rare
Language: en
color_identity: G
colors: G
mana_cost: {3}{G}{G}
type_line: Creature — Dinosaur
oracle_text: Trample
Cycling {2}{G} ({2}{G}, Discard this card: Draw a card.)
When you cycle this card, put two +1/+1 counters on up to one target creature or Vehicle. It gains trample and indestructible until end of turn.",1,,1,,No,No,near_mint,0.81,,https://cards.scryfall.io/normal/front/3/2/328d60a4-af43-4a2e-98b5-1098478eeb02.jpg?1738357345,,,,,,,
Trading Cards,Magic: The Gathering,"Akroma, Angel of Fury foil","Foil: foil
Collector number: 150
Set name: Time Spiral Remastered
Set code: TSR
Rarity: mythic
Language: en
color_identity: R
colors: R
mana_cost: {5}{R}{R}{R}
type_line: Legendary Creature — Angel
oracle_text: This spell can't be countered.
Flying, trample, protection from white and from blue
{R}: Akroma gets +1/+0 until end of turn.
Morph {3}{R}{R}{R} (You may cast this card face down as a 2/2 creature for {3}. Turn it face up any time for its morph cost.)",1,,3,,No,No,near_mint,2.88,,https://cards.scryfall.io/normal/front/8/c/8c21655e-fda4-4852-a801-c5593644044a.jpg?1619396626,,,,,,,
Trading Cards,Magic: The Gathering,Akroma's Memorial foil,"Foil: foil
Collector number: 1527
Set name: Secret Lair Drop
Set code: SLD
Rarity: mythic
Language: en
color_identity: 
colors: 
mana_cost: {7}
type_line: Legendary Artifact
oracle_text: Creatures you control have flying, first strike, vigilance, trample, haste, and protection from black and from red.",2,,42,,No,No,near_mint,41.49,,https://cards.scryfall.io/normal/front/d/4/d49e8ddc-2e8f-4a6c-a20d-a37f2c24fd97.jpg?1739789045,,,,,,,
Trading Cards,Magic: The Gathering,"Akroma, Vision of Ixidor normal","Foil: normal
Collector number: 2
Set name: Commander Legends
Set code: CMR
Rarity: mythic
Language: en
color_identity: W
colors: W
mana_cost: {5}{W}{W}
type_line: Legendary Creature — Angel
oracle_text: Flying, first strike, vigilance, trample
At the beginning of each combat, until end of turn, each other creature you control gets +1/+1 if it has flying, +1/+1 if it has first strike, and so on for double strike, deathtouch, haste, hexproof, indestructible, lifelink, menace, protection, reach, trample, vigilance, and partner.
Partner",1,,10,,No,No,near_mint,9.6,,https://cards.scryfall.io/normal/front/c/0/c0bdd07d-9fb9-4ee4-80db-494ee0cba58d.jpg?1608908641,,,,,,,
Trading Cards,Magic: The Gathering,"Alela, Cunning Conqueror foil","Foil: foil
Collector number: 34
Set name: Wilds of Eldraine Commander
Set code: WOC
Rarity: mythic
Language: en
color_identity: B, U
colors: B, U
mana_cost: {2}{U}{B}
type_line: Legendary Creature — Faerie Warlock
oracle_text: Flying
Whenever you cast your first spell during each opponent's turn, create a 1/1 black Faerie Rogue creature token with flying.
Whenever one or more Faeries you control deal combat damage to a player, goad target creature that player controls.",1,,8,,No,No,near_mint,8.26,,https://cards.scryfall.io/normal/front/8/e/8ec9571f-17c0-4f16-adb5-8805d4b72591.jpg?1692934109,,,,,,,
Trading Cards,Magic: The Gathering,Altaïr Ibn-La'Ahad etched,"Foil: etched
Collector number: 225
Set name: Assassin's Creed
Set code: ACR
Rarity: mythic
Language: en
color_identity: B, R, W
colors: B, R, W
mana_cost: {R}{W}{B}
type_line: Legendary Creature — Human Assassin
oracle_text: First strike
Whenever Altaïr attacks, exile up to one target Assassin creature card from your graveyard with a memory counter on it. Then for each creature card you own in exile with a memory counter on it, create a tapped and attacking token that's a copy of it. Exile those tokens at end of combat.",1,,6,,No,No,near_mint,5.53,,https://cards.scryfall.io/normal/front/7/b/7ba4aba6-6ed8-46cc-89eb-ce546940e250.jpg?1721425333,,,,,,,
Trading Cards,Magic: The Gathering,Angelfire Ignition foil,"Foil: foil
Collector number: 229
Set name: Innistrad Remastered
Set code: INR
Rarity: rare
Language: en
color_identity: R, W
colors: R, W
mana_cost: {1}{R}{W}
type_line: Sorcery
oracle_text: Put two +1/+1 counters on target creature. It gains vigilance, trample, lifelink, indestructible, and haste until end of turn.
Flashback {2}{R}{W} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",1,,1,,No,No,near_mint,0.42,,https://cards.scryfall.io/normal/front/8/4/84ec79d8-c8de-46be-9d82-5e6bd5de9cad.jpg?1736468471,,,,,,,
Trading Cards,Magic: The Gathering,Angel's Grace normal,"Foil: normal
Collector number: 4
Set name: Time Spiral Remastered
Set code: TSR
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {W}
type_line: Instant
oracle_text: Split second (As long as this spell is on the stack, players can't cast spells or activate abilities that aren't mana abilities.)
You can't lose the game this turn and your opponents can't win the game this turn. Until end of turn, damage that would reduce your life total to less than 1 reduces it to 1 instead.",2,,7,,No,No,near_mint,6.89,,https://cards.scryfall.io/normal/front/e/7/e78e39ea-20be-4196-992c-7ed2cb8150c1.jpg?1619392535,,,,,,,
Trading Cards,Magic: The Gathering,Angel of Salvation normal,"Foil: normal
Collector number: 3
Set name: Time Spiral Remastered
Set code: TSR
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {6}{W}{W}
type_line: Creature — Angel
oracle_text: Flash; convoke (Your creatures can help cast this spell. Each creature you tap while casting this spell pays for {1} or one mana of that creature's color.)
Flying
When this creature enters, prevent the next 5 damage that would be dealt this turn to any number of targets, divided as you choose.",2,,1,,No,No,near_mint,0.29,,https://cards.scryfall.io/normal/front/a/5/a55cdee5-134f-4008-91ce-9e7d0fdb5750.jpg?1619392506,,,,,,,
Trading Cards,Magic: The Gathering,Archivist of Oghma normal,"Foil: normal
Collector number: CLB-4
Set name: The List
Set code: PLST
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {1}{W}
type_line: Creature — Halfling Cleric
oracle_text: Flash
Whenever an opponent searches their library, you gain 1 life and draw a card.",1,,4,,No,No,near_mint,3.49,,https://cards.scryfall.io/normal/front/9/c/9c33f61c-924c-401b-8d50-ebd19f59c3da.jpg?1723434560,,,,,,,
Trading Cards,Magic: The Gathering,Archmage Emeritus normal,"Foil: normal
Collector number: 295
Set name: Strixhaven: School of Mages
Set code: STX
Rarity: rare
Language: en
color_identity: U
colors: U
mana_cost: {2}{U}{U}
type_line: Creature — Human Wizard
oracle_text: Magecraft — Whenever you cast or copy an instant or sorcery spell, draw a card.",1,,6,,No,No,near_mint,6.04,,https://cards.scryfall.io/normal/front/d/a/da5e6937-800c-4870-b234-f2907a55ce31.jpg?1624741450,,,,,,,
Trading Cards,Magic: The Gathering,Archmage of Runes normal,"Foil: normal
Collector number: 450
Set name: Foundations
Set code: FDN
Rarity: rare
Language: en
color_identity: U
colors: U
mana_cost: {3}{U}{U}
type_line: Creature — Giant Wizard
oracle_text: Instant and sorcery spells you cast cost {1} less to cast.
Whenever you cast an instant or sorcery spell, draw a card.",1,,3,,No,No,near_mint,2.43,,https://cards.scryfall.io/normal/front/2/8/28658ae0-9b5b-497d-a3c9-0a0626b7b344.jpg?1730490310,,,,,,,
Trading Cards,Magic: The Gathering,Arch of Orazca normal,"Foil: normal
Collector number: 404
Set name: Time Spiral Remastered
Set code: TSR
Rarity: special
Language: en
color_identity: 
colors: 
mana_cost: 
type_line: Land
oracle_text: Ascend (If you control ten or more permanents, you get the city's blessing for the rest of the game.)
{T}: Add {C}.
{5}, {T}: Draw a card. Activate only if you have the city's blessing.",1,,1,,No,No,near_mint,0.47,,https://cards.scryfall.io/normal/front/f/2/f2216c70-91c2-43d5-9156-9b4f7828c821.jpg?1619403383,,,,,,,
Trading Cards,Magic: The Gathering,Archway of Innovation foil,"Foil: foil
Collector number: 350
Set name: Modern Horizons 3
Set code: MH3
Rarity: rare
Language: en
color_identity: U
colors: 
mana_cost: 
type_line: Land
oracle_text: This land enters tapped unless you control an Island.
{T}: Add {U}.
{U}, {T}: The next spell you cast this turn has improvise. (Your artifacts can help cast that spell. Each artifact you tap after you're done activating mana abilities pays for {1}.)",1,,3,,No,No,near_mint,2.99,,https://cards.scryfall.io/normal/front/4/7/472905ac-1eb9-4951-8180-b8c35fbab3d7.jpg?1717014299,,,,,,,
Trading Cards,Magic: The Gathering,Arena of Glory normal,"Foil: normal
Collector number: 215
Set name: Modern Horizons 3
Set code: MH3
Rarity: rare
Language: en
color_identity: R
colors: 
mana_cost: 
type_line: Land
oracle_text: This land enters tapped unless you control a Mountain.
{T}: Add {R}.
{R}, {T}, Exert this land: Add {R}{R}. If that mana is spent on a creature spell, it gains haste until end of turn. (An exerted permanent won't untap during your next untap step.)",1,,13,,No,No,near_mint,12.3,,https://cards.scryfall.io/normal/front/d/d/dd148edc-9e43-41aa-bb50-f912115d3e72.jpg?1717047864,,,,,,,
Trading Cards,Magic: The Gathering,Audience with Trostani foil,"Foil: foil
Collector number: 152s
Set name: Murders at Karlov Manor Promos
Set code: PMKM
Rarity: rare
Language: en
color_identity: G
colors: G
mana_cost: {2}{G}
type_line: Sorcery
oracle_text: Create a 0/1 green Plant creature token, then draw cards equal to the number of differently named creature tokens you control.",1,,1,,No,No,near_mint,0.65,,https://cards.scryfall.io/normal/front/4/0/40eb1821-ec62-4ba1-8d21-6d368aff70be.jpg?1707551116,,,,,,,
Trading Cards,Magic: The Gathering,Authority of the Consuls normal,"Foil: normal
Collector number: 137
Set name: Foundations
Set code: FDN
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {W}
type_line: Enchantment
oracle_text: Creatures your opponents control enter tapped.
Whenever a creature an opponent controls enters, you gain 1 life.",1,,6,,No,No,near_mint,5.83,,https://cards.scryfall.io/normal/front/4/2/42ce2d7f-5924-47c0-b5ed-dacf9f9617a0.jpg?1730489114,,,,,,,
Trading Cards,Magic: The Gathering,Aven Interrupter normal,"Foil: normal
Collector number: 4
Set name: Outlaws of Thunder Junction
Set code: OTJ
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {1}{W}{W}
type_line: Creature — Bird Rogue
oracle_text: Flash
Flying
When this creature enters, exile target spell. It becomes plotted. (Its owner may cast it as a sorcery on a later turn without paying its mana cost.)
Spells your opponents cast from graveyards or from exile cost {2} more to cast.",1,,3,,No,No,near_mint,2.5,,https://cards.scryfall.io/normal/front/d/3/d3ca43a4-d194-440f-8099-f1fa103a108d.jpg?1712355236,,,,,,,
Trading Cards,Magic: The Gathering,Authority of the Consuls foil,"Foil: foil
Collector number: 137
Set name: Foundations
Set code: FDN
Rarity: rare
Language: en
color_identity: W
colors: W
mana_cost: {W}
type_line: Enchantment
oracle_text: Creatures your opponents control enter tapped.
Whenever a creature an opponent controls enters, you gain 1 life.",1,,7,,No,No,near_mint,6.6,,https://cards.scryfall.io/normal/front/4/2/42ce2d7f-5924-47c0-b5ed-dacf9f9617a0.jpg?1730489114,,,,,,,
Trading Cards,Magic: The Gathering,Horizon Canopy foil,"Foil: foil
Collector number: 366
Set name: Tales of Middle-earth Commander
Set code: LTC
Rarity: mythic
Language: en
color_identity: G, W
colors: 
mana_cost: 
type_line: Land
oracle_text: {T}, Pay 1 life: Add {G} or {W}.
{1}, {T}, Sacrifice this land: Draw a card.",1,,8,,No,No,near_mint,7.4,,https://cards.scryfall.io/normal/front/a/4/a439ed1c-b599-4469-82d9-df812f6c5bbd.jpg?1686967173,,,,,,,
Trading Cards,Magic: The Gathering,Ancient Tomb normal,"Foil: normal
Collector number: 357
Set name: Tales of Middle-earth Commander
Set code: LTC
Rarity: mythic
Language: en
color_identity: 
colors: 
mana_cost: 
type_line: Land
oracle_text: {T}: Add {C}{C}. This land deals 2 damage to you.",1,,185,,No,No,near_mint,185.0,,https://cards.scryfall.io/normal/front/d/f/dfd176e9-55e7-454c-bd35-24a6e3fb0d81.jpg?1686967084,,,,,,,
Trading Cards,Magic: The Gathering,Balustrade Wurm normal,"Foil: normal
Collector number: 168
Set name: Duskmourn: House of Horror
Set code: DSK
Rarity: rare
Language: en
color_identity: G
colors: G
mana_cost: {3}{G}{G}
type_line: Creature — Wurm
oracle_text: This spell can't be countered.
Trample, haste
Delirium — {2}{G}{G}: Return this card from your graveyard to the battlefield with a finality counter on it. Activate only if there are four or more card types among cards in your graveyard and only as a sorcery.",1,,1,,No,No,near_mint,0.25,,https://cards.scryfall.io/normal/front/7/6/76610e6e-b60f-494f-bb11-68371eb494f2.jpg?1726286482,,,,,,,
