Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,type_line,mana_cost,colors,color_identity,oracle_text,legal_commander,legal_pauper
Blazing Torch,INR,Innistrad Remastered,254,foil,common,1,102827,ea2d3a1c-287e-4b85-8f3d-25fdcf79f47b,0.05,False,False,near_mint,en,USD,Artifact — Equipment,{1},,,"Equipped creature can't be blocked by Vampires or Zombies.
Equipped creature has ""{T}, Sacrifice Blazing Torch: Blazing Torch deals 2 damage to any target.""
Equip {1} ({1}: Attach to target creature you control. Equip only as a sorcery.)",legal,legal
Village Messenger // Moonrise Intruder,INR,Innistrad Remastered,179,foil,common,1,102663,8bdc98cd-d03a-4c24-8642-b9ffb1f144c6,0.05,False,False,near_mint,en,USD,Creature — Human Werewolf // Creature — Werewolf,,,R,,legal,legal
Hamlet Captain,INR,Innistrad Remastered,201,foil,uncommon,1,102406,06e5d76a-0cec-40e0-b694-2b5c8484f6c0,0.08,False,False,near_mint,en,USD,Creature — Human Warrior,{1}{G},G,G,"Whenever this creature attacks or blocks, other Humans you control get +1/+1 until end of turn.",legal,not_legal
Ghoulish Procession,INR,Innistrad Remastered,110,foil,uncommon,1,102760,c178227f-3b66-45f7-9838-dff70f1f2003,0.11,False,False,near_mint,en,USD,Enchantment,{1}{B},B,B,"Whenever one or more nontoken creatures die, create a 2/2 black Zombie creature token with decayed. This ability triggers only once each turn. (A creature with decayed can't block. When it attacks, sacrifice it at end of combat.)",legal,not_legal
Town Gossipmonger // Incited Rabble,INR,Innistrad Remastered,451,normal,uncommon,1,102542,51d3da6f-5598-4795-8a27-91734c9fc688,0.04,False,False,near_mint,en,USD,Creature — Human // Creature — Human,,,"R, W",,legal,not_legal
Elvish Guidance,ONS,Onslaught,255,normal,common,1,31048,8698c46b-2628-4482-88f9-e37a01ade274,0.59,False,False,near_mint,en,USD,Enchantment — Aura,{2}{G},G,G,"Enchant land
Whenever enchanted land is tapped for mana, its controller adds an additional {G} for each Elf on the battlefield.",legal,legal
Falkenrath Torturer,INR,Innistrad Remastered,109,foil,common,1,102811,e0e896a7-fd51-4c24-b374-c4eace9ed1a2,0.04,False,False,near_mint,en,USD,Creature — Vampire,{2}{B},B,B,"Sacrifice a creature: This creature gains flying until end of turn. If the sacrificed creature was a Human, put a +1/+1 counter on this creature.",legal,legal
Dawnhart Disciple,INR,Innistrad Remastered,191,foil,common,1,102522,4463b28a-c2c9-4cbf-951e-e3ce6b1f14cb,0.03,False,False,near_mint,en,USD,Creature — Human Warlock,{1}{G},G,G,"Whenever another Human you control enters, this creature gets +1/+1 until end of turn.",legal,legal
Moonlight Hunt,INR,Innistrad Remastered,209,foil,uncommon,1,102591,6d36aecd-4bd8-4350-9161-e6feecc09bb9,0.13,False,False,near_mint,en,USD,Instant,{1}{G},G,G,Choose target creature you don't control. Each creature you control that's a Wolf or a Werewolf deals damage equal to its power to that creature.,legal,not_legal
Sever the Bloodline,INR,Innistrad Remastered,130,foil,uncommon,1,102703,a2d4152d-c128-453c-86f5-f2ebcfd48b98,0.07,False,False,near_mint,en,USD,Sorcery,{3}{B},B,B,"Exile target creature and all other creatures with the same name as that creature.
Flashback {5}{B}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,not_legal
Mountain,INR,Innistrad Remastered,294,foil,common,1,102851,f8739e90-a967-4e06-b966-1a15755a25bd,0.23,False,False,near_mint,en,USD,Basic Land — Mountain,,,R,({T}: Add {R}.),legal,legal
Borrowed Hostility,INR,Innistrad Remastered,396,foil,common,1,101881,a3684fcb-6fb0-40b0-ac43-11f664868a5c,0.15,False,False,near_mint,en,USD,Instant,{R},R,R,"Escalate {3} (Pay this cost for each mode chosen beyond the first.)
Choose one or both —
• Target creature gets +3/+0 until end of turn.
• Target creature gains first strike until end of turn.",legal,legal
Fiery Temper,INR,Innistrad Remastered,154,foil,uncommon,1,102450,1d3a3a1d-c393-4a57-8a0e-5907d1722331,0.12,False,False,near_mint,en,USD,Instant,{1}{R}{R},R,R,"Fiery Temper deals 3 damage to any target.
Madness {R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal
Soul Separator,INR,Innistrad Remastered,446,foil,uncommon,1,102696,9e1e52fe-bceb-416b-bd7f-2887f25c7b20,0.28,False,False,near_mint,en,USD,Artifact,{3},,,"{5}, {T}, Sacrifice this artifact: Exile target creature card from your graveyard. Create a token that's a copy of that card, except it's 1/1, it's a Spirit in addition to its other types, and it has flying. Create a black Zombie creature token with power equal to that card's power and toughness equal to that card's toughness.",legal,not_legal
Spectral Shepherd,INR,Innistrad Remastered,349,normal,uncommon,1,102660,89fd38be-8b2a-4ff4-8f51-e7d6971f7aef,0.08,False,False,near_mint,en,USD,Creature — Spirit,{2}{W},W,"U, W","Flying
{1}{U}: Return target Spirit you control to its owner's hand.",legal,not_legal
Voldaren Epicure,INR,Innistrad Remastered,405,normal,common,1,102448,1cd8c532-132d-4291-b111-8f1ff6064bf6,0.26,False,False,near_mint,en,USD,Creature — Vampire,{R},R,R,"When this creature enters, it deals 1 damage to each opponent. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")",legal,legal
Sanitarium Skeleton,INR,Innistrad Remastered,129,foil,common,1,102424,119020b3-9d26-4153-b7b9-28375f7fa915,0.07,False,False,near_mint,en,USD,Creature — Skeleton,{B},B,B,{2}{B}: Return this card from your graveyard to your hand.,legal,legal
Voldaren Epicure,INR,Innistrad Remastered,182,foil,common,1,102824,e8fe855c-fe94-4de7-a033-9892a9d6ee0e,0.12,False,False,near_mint,en,USD,Creature — Vampire,{R},R,R,"When this creature enters, it deals 1 damage to each opponent. Create a Blood token. (It's an artifact with ""{1}, {T}, Discard a card, Sacrifice this token: Draw a card."")",legal,legal
Wild-Field Scarecrow,INR,Innistrad Remastered,274,foil,common,1,102429,13629238-f907-47b7-bdba-164e38c7b6d2,0.02,False,False,near_mint,en,USD,Artifact Creature — Scarecrow,{3},,,"Defender
{2}, Sacrifice this creature: Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle.",legal,legal
Furyblade Vampire,INR,Innistrad Remastered,155,foil,uncommon,1,102683,95a38a53-d83a-4df7-8caa-40995b0c4235,0.06,False,False,near_mint,en,USD,Creature — Vampire Berserker,{1}{R},R,R,"Trample
At the beginning of combat on your turn, you may discard a card. If you do, this creature gets +3/+0 until end of turn.",legal,not_legal
Ulvenwald Mysteries,INR,Innistrad Remastered,222,foil,uncommon,1,101877,8a3997f1-5b02-4ca5-a390-fedb5874b575,0.06,False,False,near_mint,en,USD,Enchantment,{2}{G},G,G,"Whenever a nontoken creature you control dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, create a 1/1 white Human Soldier creature token.",legal,not_legal
Rise from the Tides,INR,Innistrad Remastered,82,foil,uncommon,1,102700,a16fccff-ca97-4416-b42f-86d314b1d0af,0.09,False,False,near_mint,en,USD,Sorcery,{5}{U},U,U,Create a tapped 2/2 black Zombie creature token for each instant and sorcery card in your graveyard.,legal,not_legal
Smoldering Werewolf // Erupting Dreadwolf,INR,Innistrad Remastered,465,foil,uncommon,1,102780,ca129694-150c-47c6-bdda-c3ba3d1fdc61,0.42,False,False,near_mint,en,USD,Creature — Werewolf Horror // Creature — Eldrazi Werewolf,,,R,,legal,not_legal
Scorned Villager // Moonscarred Werewolf,INR,Innistrad Remastered,468,normal,common,1,102671,9152b78f-bd35-4e6a-9bd3-d0a65d898e95,0.05,False,False,near_mint,en,USD,Creature — Human Werewolf // Creature — Werewolf,,,G,,legal,legal
Abundant Maw,INR,Innistrad Remastered,329,normal,common,1,102438,1699cd85-37f2-4126-be07-bd11a8153c10,0.06,False,False,near_mint,en,USD,Creature — Eldrazi Leech,{8},,B,"Emerge {6}{B} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, target opponent loses 3 life and you gain 3 life.",legal,legal
Ancestral Anger,INR,Innistrad Remastered,141,foil,common,1,102837,eeaca66d-23bd-4e8f-8d4a-c5864dd447be,0.09,False,False,near_mint,en,USD,Sorcery,{R},R,R,"Target creature gains trample and gets +X/+0 until end of turn, where X is 1 plus the number of cards named Ancestral Anger in your graveyard.
Draw a card.",legal,legal
Strength of Arms,INR,Innistrad Remastered,42,foil,common,1,102698,a08fb8ec-6890-48f9-97db-0584a9a77578,0.04,False,False,near_mint,en,USD,Instant,{W},W,W,"Target creature gets +2/+2 until end of turn. If you control an Equipment, create a 1/1 white Human Soldier creature token.",legal,legal
Epitaph Golem,INR,Innistrad Remastered,262,foil,common,1,102455,202125f5-9182-436f-86df-701cdc7e60ce,0.04,False,False,near_mint,en,USD,Artifact Creature — Golem,{5},,,{2}: Put target card from your graveyard on the bottom of your library.,legal,legal
It of the Horrid Swarm,INR,Innistrad Remastered,6,foil,common,1,101885,ba983caf-72b4-419e-84dc-1ad0215a865c,0.03,False,False,near_mint,en,USD,Creature — Eldrazi Insect,{8},,G,"Emerge {6}{G} (You may cast this spell by sacrificing a creature and paying the emerge cost reduced by that creature's mana value.)
When you cast this spell, create two 1/1 green Insect creature tokens.",legal,legal
Fleshtaker,INR,Innistrad Remastered,235,foil,uncommon,1,102529,4b9bf7a7-28f8-410e-86d3-5637e473a5a1,0.07,False,False,near_mint,en,USD,Creature — Human Assassin,{W}{B},"B, W","B, W","Whenever you sacrifice another creature, you gain 1 life and scry 1. (Look at the top card of your library. You may put that card on the bottom.)
{1}, Sacrifice another creature: This creature gets +2/+2 until end of turn.",legal,not_legal
Cobbled Lancer,INR,Innistrad Remastered,56,foil,uncommon,1,102719,ad933b4d-e1e7-49cc-aa18-8eee2ec8c8a5,0.03,False,False,near_mint,en,USD,Creature — Zombie Horse,{U},U,U,"As an additional cost to cast this spell, exile a creature card from your graveyard.
{3}{U}, Exile this card from your graveyard: Draw a card.",legal,not_legal
Galvanic Juggernaut,INR,Innistrad Remastered,263,foil,uncommon,1,102693,9cc1c735-22ad-4714-84e7-253df00941fa,0.02,False,False,near_mint,en,USD,Artifact Creature — Juggernaut,{4},,,"This creature attacks each combat if able.
This creature doesn't untap during your untap step.
Whenever another creature dies, untap this creature.",legal,not_legal
Plains,INR,Innistrad Remastered,289,foil,common,1,102770,c574549f-da6c-4080-8748-6ef146a7ae48,0.4,False,False,near_mint,en,USD,Basic Land — Plains,,,W,({T}: Add {W}.),legal,legal
Ulvenwald Mysteries,INR,Innistrad Remastered,423,normal,uncommon,1,101876,88a7bf3a-9c87-4937-a6e1-dfbc589c8e35,0.09,False,False,near_mint,en,USD,Enchantment,{2}{G},G,G,"Whenever a nontoken creature you control dies, investigate. (Create a Clue token. It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Whenever you sacrifice a Clue, create a 1/1 white Human Soldier creature token.",legal,not_legal
Crawl from the Cellar,INR,Innistrad Remastered,376,normal,common,1,102603,723d39c7-a296-4c85-94b3-1f0b3aa20bf5,0.12,False,False,near_mint,en,USD,Sorcery,{B},B,B,"Return target creature card from your graveyard to your hand. Put a +1/+1 counter on up to one target Zombie you control.
Flashback {3}{B} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,legal
Deranged Assistant,INR,Innistrad Remastered,61,foil,common,1,102495,3960ed42-b3e7-4464-b345-1b9b22719efc,0.08,False,False,near_mint,en,USD,Creature — Human Wizard,{1}{U},U,U,"{T}, Mill a card: Add {C}. (To mill a card, put the top card of your library into your graveyard.)",legal,legal
Eccentric Farmer,INR,Innistrad Remastered,194,foil,common,1,102859,fe2a1718-eae1-4330-b494-c3088b992aae,0.03,False,False,near_mint,en,USD,Creature — Human Peasant,{2}{G},G,G,"When this creature enters, mill three cards, then you may return a land card from your graveyard to your hand. (To mill three cards, put the top three cards of your library into your graveyard.)",legal,legal
Vilespawn Spider,INR,Innistrad Remastered,251,foil,uncommon,1,102554,58901777-f8bf-450b-acf8-d60a73c3322f,0.05,False,False,near_mint,en,USD,Creature — Spider,{G}{U},"G, U","G, U","Reach
At the beginning of your upkeep, mill a card. (Put the top card of your library into your graveyard.)
{2}{G}{U}, {T}, Sacrifice this creature: Create a 1/1 green Insect creature token for each creature card in your graveyard. Activate only as a sorcery.",legal,not_legal
Essence Flux,INR,Innistrad Remastered,354,normal,common,1,102755,be9cb87e-d741-4f17-bbb7-f6d2292f820f,0.31,False,False,near_mint,en,USD,Instant,{U},U,U,"Exile target creature you control, then return that card to the battlefield under its owner's control. If it's a Spirit, put a +1/+1 counter on it.",legal,legal
Forest,INR,Innistrad Remastered,296,foil,common,1,102712,a7cdabc9-39d6-4380-8e14-e7792d7463dd,0.36,False,False,near_mint,en,USD,Basic Land — Forest,,,G,({T}: Add {G}.),legal,legal
Alchemist's Greeting,INR,Innistrad Remastered,140,foil,common,1,102847,f36e2146-b6a9-4b61-9ccf-969a2c79b747,0.04,False,False,near_mint,en,USD,Sorcery,{4}{R},R,R,"Alchemist's Greeting deals 4 damage to target creature.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,legal
Eaten Alive,INR,Innistrad Remastered,106,foil,common,1,102431,143d278d-d99b-42da-9fbd-9ab70526d53a,0.08,False,False,near_mint,en,USD,Sorcery,{B},B,B,"As an additional cost to cast this spell, sacrifice a creature or pay {3}{B}.
Exile target creature or planeswalker.",legal,legal
Tower Geist,INR,Innistrad Remastered,93,foil,common,1,102652,88523d44-4469-4685-8f59-dbcf255e7fe0,0.04,False,False,near_mint,en,USD,Creature — Spirit,{3}{U},U,U,"Flying
When this creature enters, look at the top two cards of your library. Put one of them into your hand and the other into your graveyard.",legal,legal
Midnight Scavengers,INR,Innistrad Remastered,123,foil,common,1,101886,bc079c81-85e8-4a0d-83fe-533c4feaa343,0.06,False,False,near_mint,en,USD,Creature — Human Rogue,{4}{B},B,B,"When this creature enters, you may return target creature card with mana value 3 or less from your graveyard to your hand.
(Melds with Graf Rats.)",legal,legal
Somberwald Sage,INR,Innistrad Remastered,215,foil,uncommon,1,102694,9d8dfef3-4c87-4eb8-b0d4-8f8485de792c,0.32,False,False,near_mint,en,USD,Creature — Human Druid,{2}{G},G,G,{T}: Add three mana of any one color. Spend this mana only to cast creature spells.,legal,not_legal
Faith Unbroken,INR,Innistrad Remastered,21,foil,uncommon,1,102541,514df7e7-3050-41ce-bd44-f215bbcfd1c5,0.06,False,False,near_mint,en,USD,Enchantment — Aura,{3}{W},W,W,"Enchant creature you control
When this Aura enters, exile target creature an opponent controls until this Aura leaves the battlefield.
Enchanted creature gets +2/+2.",legal,not_legal
Indulgent Aristocrat,INR,Innistrad Remastered,118,foil,uncommon,1,102407,07015524-874f-4856-a5c1-3148bd126886,0.18,False,False,near_mint,en,USD,Creature — Vampire Noble,{B},B,B,"Lifelink
{2}, Sacrifice a creature: Put a +1/+1 counter on each Vampire you control.",legal,not_legal
Stromkirk Occultist,INR,Innistrad Remastered,402,normal,uncommon,1,102644,844a4c16-b17c-48ed-a80a-782a3c119db9,0.07,False,False,near_mint,en,USD,Creature — Vampire Horror,{2}{R},R,R,"Trample
Whenever this creature deals combat damage to a player, exile the top card of your library. Until end of turn, you may play that card.
Madness {1}{R} (If you discard this card, discard it into exile. When you do, cast it for its madness cost or put it into your graveyard.)",legal,not_legal
Cathar Commando,INR,Innistrad Remastered,336,normal,common,1,102845,f1f374f7-5d0c-4965-97f0-cfc80f22b039,0.15,False,False,near_mint,en,USD,Creature — Human Soldier,{1}{W},W,W,"Flash
{1}, Sacrifice this creature: Destroy target artifact or enchantment.",legal,legal
Swamp,INR,Innistrad Remastered,293,foil,common,1,102530,4bc918af-527c-46d7-861d-32e9150ed3df,1.05,False,False,near_mint,en,USD,Basic Land — Swamp,,,B,({T}: Add {B}.),legal,legal
Swamp,INR,Innistrad Remastered,292,foil,common,2,102634,806d26a2-2f2a-4a77-b5bc-a6c97ba5db42,0.79,False,False,near_mint,en,USD,Basic Land — Swamp,,,B,({T}: Add {B}.),legal,legal
Icewrought Sentry,WOE,Wilds of Eldraine,55,normal,uncommon,1,85535,859419d3-cd15-4362-98b3-a7ff98e29692,0.06,False,False,near_mint,en,USD,Creature — Elemental Soldier,{2}{U},U,U,"Vigilance
Whenever this creature attacks, you may pay {1}{U}. When you do, tap target creature an opponent controls.
Whenever you tap an untapped creature an opponent controls, this creature gets +2/+1 until end of turn.",legal,not_legal
Ichorplate Golem,ONE,Phyrexia: All Will Be One,230,normal,uncommon,1,78920,e555abb1-ffd4-4143-9be8-ec8a758f5c2a,0.03,False,False,near_mint,en,USD,Artifact Creature — Phyrexian Golem,{3},,,"Whenever a creature you control enters, if it has one or more oil counters on it, put an oil counter on it.
Creatures you control with oil counters on them get +1/+1.",legal,not_legal
Icy Manipulator,DMR,Dominaria Remastered,225,normal,uncommon,1,78077,ac5a54ca-f175-4005-895f-d76effd6178e,0.07,False,False,near_mint,en,USD,Artifact,{4},,,"{1}, {T}: Tap target artifact, creature, or land.",legal,not_legal
Idol of False Gods,MH3,Modern Horizons 3,210,foil,uncommon,1,94636,d5e1ff6d-190a-497f-89c3-35e0979c93b5,0.45,False,False,near_mint,en,USD,Kindred Artifact — Eldrazi,{2},,,"{1}{C}, {T}: Create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""
Whenever another Eldrazi you control dies, put a +1/+1 counter on this artifact.
As long as this artifact has eight or more +1/+1 counters on it, it's a 0/0 creature in addition to its other types and it has annihilator 2.",legal,not_legal
Idol of False Gods,MH3,Modern Horizons 3,210,normal,uncommon,2,94636,d5e1ff6d-190a-497f-89c3-35e0979c93b5,0.19,False,False,near_mint,en,USD,Kindred Artifact — Eldrazi,{2},,,"{1}{C}, {T}: Create a 0/1 colorless Eldrazi Spawn creature token with ""Sacrifice this token: Add {C}.""
Whenever another Eldrazi you control dies, put a +1/+1 counter on this artifact.
As long as this artifact has eight or more +1/+1 counters on it, it's a 0/0 creature in addition to its other types and it has annihilator 2.",legal,not_legal
Idol of the Deep King // Sovereign's Macuahuitl,LCI,The Lost Caverns of Ixalan,155,normal,common,1,88917,d1d8d8ef-c8b2-4e7c-89e4-b381dff20584,0.05,False,False,near_mint,en,USD,Artifact // Artifact — Equipment,,,R,,legal,legal
Impossible Inferno,DSK,Duskmourn: House of Horror,140,normal,common,1,98885,a35248f9-9a4e-4758-a4c1-0e0c83e3fd75,0.04,False,False,near_mint,en,USD,Instant,{4}{R},R,R,"Impossible Inferno deals 6 damage to target creature.
Delirium — If there are four or more card types among cards in your graveyard, exile the top card of your library. You may play it until the end of your next turn.",legal,legal
Impounding Lot-Bot,UNF,Unfinity,14,foil,common,1,73247,b7a8cbef-e95c-4bc0-9043-8a18e02385cb,,False,False,near_mint,en,USD,Artifact Creature — Robot,{3}{W},W,W,"When this creature enters, you may say ""INCARCERATE!"" in a robot voice. If you do, exile another target artifact or enchantment until this creature leaves the battlefield.",not_legal,not_legal
Indebted Spirit,MH3,Modern Horizons 3,31,foil,uncommon,2,94884,bfdbef00-bc1b-4dd6-aef5-aeb5ce454344,0.17,False,False,near_mint,en,USD,Enchantment Creature — Spirit,{W},W,W,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Afterlife 1 (When this permanent is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying.)
Enchanted creature gets +1/+1 and has afterlife 1.",legal,not_legal
Indebted Spirit,MH3,Modern Horizons 3,31,normal,uncommon,3,94884,bfdbef00-bc1b-4dd6-aef5-aeb5ce454344,0.13,False,False,near_mint,en,USD,Enchantment Creature — Spirit,{W},W,W,"Bestow {2}{W} (If you cast this card for its bestow cost, it's an Aura spell with enchant creature. It becomes a creature again if it's not attached.)
Afterlife 1 (When this permanent is put into a graveyard from the battlefield, create a 1/1 white and black Spirit creature token with flying.)
Enchanted creature gets +1/+1 and has afterlife 1.",legal,not_legal
Infernal Captor,MH3,Modern Horizons 3,125,normal,common,6,94862,6b30243d-511b-47b8-bbed-0395d3de903d,0.02,False,False,near_mint,en,USD,Creature — Devil Rogue,{3}{R},R,R,"Exploit (When this creature enters, you may sacrifice a creature.)
When this creature exploits a creature, gain control of target artifact or creature until end of turn. Untap that permanent. It gains haste until end of turn.",legal,legal
Information Booth,UNF,Unfinity,218b,foil,uncommon,1,72956,dcb7aed1-99e8-494c-9bc5-c483d0577f91,0.38,False,False,near_mint,en,USD,Artifact — Attraction,,,,Visit — Draw a card.,legal,not_legal
Infuriate,STA,Strixhaven Mystical Archive,41,normal,uncommon,1,58143,71a5dfad-c8b4-46cc-9a06-73d23b269df8,0.12,False,False,near_mint,en,USD,Instant,{R},R,R,Target creature gets +3/+2 until end of turn.,legal,legal
Inherited Envelope,LTR,The Lord of the Rings: Tales of Middle-earth,693,normal,common,1,86482,53336c6d-8222-4f1f-8953-6f734ffd897f,0.39,False,False,near_mint,en,USD,Artifact,{3},,,"When this artifact enters, the Ring tempts you.
{T}: Add one mana of any color.",legal,legal
Innocuous Rat,DSK,Duskmourn: House of Horror,103,foil,common,2,98872,94edbbc5-5673-4753-bfad-4432c4b7dca4,0.05,False,False,near_mint,en,USD,Creature — Rat,{1}{B},B,B,"When this creature dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",legal,legal
Inquisitive Glimmer,DSK,Duskmourn: House of Horror,217,normal,uncommon,1,98752,f1f66e3e-9f1f-4601-aa30-30b66805a5a8,0.23,False,False,near_mint,en,USD,Enchantment Creature — Fox Glimmer,{W}{U},"U, W","U, W","Enchantment spells you cast cost {1} less to cast.
Unlock costs you pay cost {1} less.",legal,not_legal
Innocuous Rat,DSK,Duskmourn: House of Horror,103,normal,common,1,98872,94edbbc5-5673-4753-bfad-4432c4b7dca4,0.05,False,False,near_mint,en,USD,Creature — Rat,{1}{B},B,B,"When this creature dies, manifest dread. (Look at the top two cards of your library. Put one onto the battlefield face down as a 2/2 creature and the other into your graveyard. Turn it face up any time for its mana cost if it's a creature card.)",legal,legal
Inspiring Leader,CLB,Commander Legends: Battle for Baldur's Gate,28,normal,uncommon,2,69393,fc6eb9f3-0f7b-4623-806e-5e604a05d470,0.23,False,False,near_mint,en,USD,Legendary Enchantment — Background,{2}{W},W,W,"Commander creatures you own have ""Creature tokens you control get +2/+2.""",legal,not_legal
Inspiring Paladin,FDN,Foundations,18,normal,common,1,101472,0763be06-25b2-4d6b-ab33-a1af85aeb443,0.05,False,False,near_mint,en,USD,Creature — Human Knight,{2}{W},W,W,"During your turn, this creature has first strike. (It deals combat damage before creatures without first strike.)
During your turn, creatures you control with +1/+1 counters on them have first strike.",legal,legal
Insufferable Balladeer,CLB,Commander Legends: Battle for Baldur's Gate,184,normal,common,1,68843,0c7f401e-1403-49f8-a39e-1eed05b41c34,0.08,False,False,near_mint,en,USD,Creature — Dwarf Bard,{1}{R},R,R,"Vicious Mockery — When this creature enters, target creature an opponent controls can't block this turn. Goad it. (Until your next turn, that creature attacks each combat if able and attacks a player other than you if able.)",legal,legal
Intrepid Trufflesnout // Go Hog Wild,WOE,Wilds of Eldraine,320,normal,uncommon,1,85363,4224747e-1dbc-4a29-b5da-5916d8ca2768,0.15,False,False,near_mint,en,USD,Creature — Boar // Instant — Adventure,{1}{G} // {1}{G},G,G,,legal,not_legal
Introduction to Annihilation,STX,Strixhaven: School of Mages,3,normal,common,1,58277,b0bc4682-bcaf-4f51-be0b-9f2851a16e3b,0.07,False,False,near_mint,en,USD,Sorcery — Lesson,{5},,,Exile target nonland permanent. Its controller draws a card.,legal,legal
Intruding Soulrager,DSK,Duskmourn: House of Horror,218,normal,uncommon,1,98898,adffc298-0219-4807-ab05-d94460e767bc,0.02,False,False,near_mint,en,USD,Creature — Spirit,{U}{R},"R, U","R, U","Vigilance
{T}, Sacrifice a Room: This creature deals 2 damage to each opponent. Draw a card.",legal,not_legal
Intrusive Packbeast,PLST,The List,GRN-17,normal,common,1,49213,54aa25ea-7903-48d7-9c3f-412f54753fce,0.04,False,False,near_mint,en,USD,Creature — Beast,{4}{W},W,W,"Vigilance
When this creature enters, tap up to two target creatures your opponents control.",legal,legal
Invasion of Azgol // Ashen Reaper,MOM,March of the Machine,232,normal,uncommon,1,81197,ae2e1244-f05b-45f9-8afc-59f190524798,0.04,False,False,near_mint,en,USD,Battle — Siege // Creature — Zombie Elemental,,,"B, R",,legal,not_legal
Invasion of Dominaria // Serra Faithkeeper,MOM,March of the Machine,21,normal,uncommon,1,81131,7e784d3d-0c6d-4ce5-beb5-edd2adb32385,0.11,False,False,near_mint,en,USD,Battle — Siege // Creature — Angel,,,W,,legal,not_legal
